"V1","V2","V3","V4"
0.60989065288925,0.901475179672806,0,7
0.759918104952425,0.708323461213194,1,3
0.642886919156475,0.732072906381921,1,5
0.512094818174621,0.83765397427012,0,9
0.739497600450405,0.780675681336366,1,3
0.659313530158604,0.744714071887732,0,5
0.647485674919161,0.560520160956119,0,5
0.471642693123363,0.530867641142246,0,1
0.778991104877619,0.68582495167079,1,7
0.689753318978896,0.625802782572306,1,8
0.6714057726163,0.677061582068524,1,3
0.555241385895029,0.6121653813401,0,7
0.713941331317756,0.750524391110518,0,7
0.702638062101866,0.589450959398302,1,4
0.932691811961339,0.817189612672708,0,5
0.879469726688449,0.657067024214645,0,7
0.625520819960308,0.693997094167751,1,7
0.694454357398585,0.827126457931882,1,8
0.639761656672303,0.822208921679262,1,2
0.674755124174522,0.937865024000168,1,5
0.694805066169999,0.743320135840845,1,1
0.816258978294259,0.659086105063831,1,4
0.782309149548506,0.626528728271,1,2
0.614535831073357,0.741288970965778,1,8
0.74397828835868,0.728014925477539,0,9
0.587634089580074,0.851491100075289,1,4
0.562152401064946,0.626866077121529,1,9
0.584868418353147,0.780343411934702,1,9
0.657704200762468,0.614709825012127,1,6
0.794307277057413,0.52656461934725,1,8
0.650041335649888,0.744439315097444,1,6
0.77109924313715,0.608231611822569,0,8
0.552306266501034,0.8138754945336,0,8
0.651739352615129,0.791970827112056,1,8
0.728256808406856,0.713011147411845,1,4
0.758953260972605,0.79864878892328,0,6
0.537564601567446,0.735542804503314,0,7
0.629050986798758,0.678008821049651,0,8
0.604450109340499,0.716048740408474,1,0
0.609552734644305,0.644305996890126,1,6
0.789434818739616,0.855631081833793,1,4
0.617895000903253,0.664153978435188,1,4
0.742605247088305,0.670385574727936,1,1
0.797501470746281,0.873945230951565,1,6
0.741002739363021,0.674616131323542,1,8
0.987812780907889,0.728318094366383,0,4
0.671843726978534,0.500926167413324,0,5
0.57957868419288,0.668008994342061,1,4
0.545170000032306,0.729479547963549,1,5
0.609223829918273,0.79350540645905,0,3
0.910562327527585,0.775256274504941,1,5
0.584590699037357,0.760890035648577,1,9
0.714401718372406,0.625987344013433,1,4
0.558896242389511,0.824543744899934,1,7
0.792042476254049,0.677404353525604,1,4
0.532818616464452,0.622782992500512,0,3
0.543624675838053,0.811192983385736,1,4
0.880296960385229,0.805684958138658,0,5
0.630762748132433,0.625915591069045,1,6
0.455243411135818,0.92664945516986,1,4
0.539449077588497,0.690766251101386,1,2
0.648833473991233,0.830976559571795,1,1
0.740378988726867,0.649466110841765,1,8
0.639617031686909,0.573667291198569,1,1
0.712597348581805,0.758618163013276,1,8
0.872737993627111,0.69163860948277,0,9
0.743903030456439,0.638061523811729,0,4
0.624605158554684,0.792596599254913,0,2
0.605097991588611,0.730148271346827,0,4
0.824007995141883,0.696516349317786,0,4
0.544467463251528,0.783868243662425,1,9
0.582652513398605,0.619630613714967,1,4
0.725056179066374,0.61029979949973,1,9
0.685350061630656,0.709988423847154,1,4
0.623020992027448,0.586047755040525,1,5
0.586949543947849,0.761528902295975,1,6
0.696805039360966,0.831120496345859,0,4
0.768777820708769,0.77311619576204,0,5
0.651271645469693,0.680614986272844,1,5
0.705493502990537,0.70245978989579,1,3
0.584664773068186,0.679434170767604,0,9
0.789416680091097,0.702726917438913,1,4
0.631631499944859,0.631174683830928,1,2
0.544952278978526,0.614173839911627,0,4
0.631101972870601,0.57658489214422,1,7
0.926624673817428,0.761145644681374,1,6
0.813420284706188,0.791040607954648,0,5
0.595470235202954,0.753393153048695,0,8
0.624208902087457,0.728347319803036,0,1
0.616253751143171,0.639045168440702,1,4
0.82368805947395,0.725690464557353,0,7
0.511958671498519,0.862968706803296,1,8
0.606598400081014,1.04899643264629,1,1
0.801506147742014,0.613169054574581,1,6
0.680559354781437,0.545028286190347,1,5
0.700311966046047,0.633246898121831,1,0
0.717052061002633,0.719164504118459,0,5
0.522258850962014,0.681270038343604,0,2
0.75181492767521,0.801220558143418,1,9
0.702483081082162,0.819225524948238,1,9
0.645405293435554,0.747440320921786,1,2
0.59184010668249,0.752820877991078,0,4
0.559077615637065,0.742418234647007,1,9
0.780423059698092,0.697115475654884,0,5
0.607867368075592,0.647032279079467,1,4
0.915992250928505,0.797755242678877,1,4
0.775609891660725,0.658129632387015,0,6
0.661228502601771,0.766447130961913,0,4
0.793488706860901,0.772924206677768,0,2
0.735549694584793,0.705422447539113,1,0
0.735465854005624,0.71867476570305,1,6
0.830943142152114,0.777541209348074,0,1
0.710146650925579,0.5805881270642,1,2
0.569892570497868,0.749719436957768,1,0
0.580520981887766,0.58751300880085,1,0
0.8106118673953,0.699799456804111,1,2
0.577260816259032,0.721960066330501,1,6
0.841427580332837,0.664253656420171,0,5
0.764423850252759,0.619666453890374,1,0
0.647278992618458,0.725412237702672,1,2
0.769032164137811,0.625821371691041,1,9
0.55373758179481,0.674772288347188,0,3
0.572869942607818,0.673618526560057,1,9
0.624234495430316,0.683523930915333,1,3
0.747037215124038,0.609387462110068,1,7
0.682316742102473,0.718927674877997,1,8
0.851163889423847,0.689128319393917,1,7
0.641959306863306,0.701475258473799,0,3
0.585120740441032,0.590908879733479,1,4
0.742683302730965,0.63247276759942,1,5
0.689208472767386,0.610944082366284,0,7
0.575878685272353,0.690047538021095,0,9
0.536310211058181,0.696045249911619,0,8
0.860523707911995,0.54345386231166,1,3
0.489497509094011,0.63955086379744,1,0
0.572290682321472,0.577092317421135,1,5
0.614076119376634,0.583068071616236,0,8
0.633802054320877,0.732852081761461,1,9
0.615110928184231,0.611407145572553,0,8
0.69192330704158,0.783174043486505,0,1
0.525911276958001,0.766826846232142,1,9
0.62131149289994,0.507860464323132,0,9
0.585865336404651,0.605639192788264,1,4
1.02406557685718,0.868804635921823,1,4
0.811863646604184,0.674158445022017,1,3
0.829490858711332,0.617341303530098,1,6
0.669480171925988,0.833264487823249,1,9
0.923049358211071,0.575204511727482,0,2
0.76793061651392,0.841510625989849,0,1
0.783311318016131,0.779023382026855,0,2
0.648893953016408,0.680003006953936,1,8
0.779046970540836,0.750366668084406,1,2
0.760376885241349,0.74483028961458,1,6
0.635345676355933,0.737712683187199,1,2
0.596371387239882,0.60563773761391,0,9
0.671386341470347,0.855325358850178,1,7
0.873773333630147,0.710142393914293,0,8
0.810672871856121,0.681785971614024,1,9
0.644971409854305,0.59287017195793,1,6
0.556789247506243,0.656138582044383,1,1
0.640038167614608,0.678353249709411,1,3
0.76950620295804,0.619896633551609,1,7
0.616342216124034,0.702376241926276,1,5
0.846602743459373,0.744260194964843,0,8
0.695606098199663,0.617193469226873,1,6
0.581207766070033,0.647573455949015,1,7
0.754275794660382,0.670761782851978,1,7
0.769728271531445,0.716032829652109,1,1
0.584512075473843,0.699924303306854,1,4
0.651517131193241,0.899478642440181,1,7
0.549022405655115,1.0003075284419,0,9
0.596992336565765,0.612861907341192,0,4
0.597933275849771,0.654094561493267,1,3
0.837356381900895,0.629793743739804,1,3
0.53458855345029,0.701468800675282,1,3
0.622297140820672,0.584941793413858,1,2
0.728197519154013,0.709158040222343,1,6
0.492336234901834,0.92540019247685,1,0
0.62289982117051,0.569187662359179,1,6
0.951007047313881,0.629690333248972,0,9
0.608200585393296,0.893193567054879,1,2
0.770374129136101,0.636408240087399,0,1
0.747559218003734,0.774488069466956,1,9
0.752840712166625,0.737813674313116,0,5
0.68962606262365,0.820665837414639,0,7
0.840257596182337,0.855313392584199,1,5
0.569971174039555,0.710609153604146,1,9
0.703413550463906,0.766171072802236,0,9
0.717944165575778,0.550399230288894,1,9
0.655147353336005,0.635133835567182,1,9
0.857216445384546,0.725370595892531,1,7
0.499061360637042,0.642119782686902,0,5
0.68394364625945,0.603378279428777,1,4
0.602831660509437,0.776838747613465,1,7
0.691961376929373,0.687287147150204,0,2
0.790778562410515,0.804863545277455,1,8
0.740539393738287,0.813648275968084,1,8
0.798057046587469,0.663176155614368,1,8
0.694462239428053,0.588905670725271,1,2
0.750105681297311,0.670751403617056,1,6
0.463304073752067,0.65609722933543,0,8
0.51240328142004,1.18367436066125,0,4
0.935326602937593,0.893564955276943,1,5
0.773472036098501,0.638641263276541,1,9
0.819597251703367,0.630671712722309,1,8
0.567142560836747,0.595075025542529,1,5
0.721730158484908,0.735500824606379,0,6
0.628035222757056,0.583313732109311,0,4
0.809584249226312,0.821358423104237,0,4
0.740729355271115,0.638247329928978,0,8
0.588655560181068,0.717052442209068,0,8
0.745469320277112,0.734472119652662,0,7
0.508003569161167,0.725160433035899,0,9
0.438218126771777,0.668255733944322,1,6
0.584224243480967,0.648970062829328,1,1
0.656688852187542,0.712314140606304,1,7
0.652483161812978,0.685383052037171,1,6
0.73643701111923,0.83155663806726,1,6
0.733584206973163,0.687393512479978,1,8
0.656944307473167,0.664129384084613,1,5
0.639571826711698,0.714298184433846,0,5
0.736485750689361,0.64012964138052,1,4
0.780801800165547,0.739930724899622,1,7
0.755440845407092,0.681403707850093,0,4
0.628040914362303,0.730343650068274,0,7
0.578592967810284,0.709065571811563,0,8
0.722182506916374,0.54920511345082,0,9
0.762707616204417,0.677114848525936,1,4
0.562984347380932,0.745526662155412,0,6
0.828326074143769,0.686451753207978,0,9
0.720359085723637,0.674637971529461,1,6
0.78807927233797,0.688813297039796,1,2
0.667157899853338,0.727129319290845,1,2
0.584385348124845,0.644631661581822,1,4
0.642443565237536,0.687279649684358,0,6
0.589638474295083,0.610590586271556,0,6
0.550407826067766,0.639354870553344,0,3
0.70634258859481,0.677507147968175,1,3
0.685252621986611,0.560936891015273,1,4
0.879726593789794,0.54704946870219,0,7
0.771199932165945,0.740519954711402,1,9
0.626443098164471,0.702286897042752,1,6
0.666173101219011,0.636780874293838,0,6
0.520213962702421,0.686462842210838,1,8
0.524232909678231,0.683296432357413,0,7
0.681236151051506,0.631364246112715,1,6
0.631481329274055,0.788575262419149,1,3
0.609038195580013,0.655467620801072,1,5
0.769759108407276,0.599589059827584,1,3
0.567670476623301,0.685509298966678,1,9
0.656747747497253,0.833326577469509,1,4
0.840649201936578,0.805617828577208,0,2
0.544626500941873,0.769351808367831,0,4
0.70589589847004,0.707477040033619,1,6
0.540294913885304,0.591236199776803,1,5
0.627490625291758,0.617316808133589,0,5
0.725638367713406,0.667679347774437,1,6
0.746374980138569,0.66515123129797,1,1
0.779131531794369,0.618675869612623,1,6
0.675312710111454,0.802978961210671,1,5
0.632128029342687,0.636556612097261,1,2
0.585103259196424,0.603387908629897,1,4
0.68866383085389,0.569460402049452,0,4
0.791193854230639,0.729769216709487,1,6
0.699920759440099,0.760247306292613,1,4
0.623817898111495,0.600275755975817,1,4
0.642935078216537,0.716026226526721,0,4
0.628964445423529,0.586692624010288,1,6
0.863531972536827,0.677050259390525,1,1
0.710098971255426,0.696250362820383,1,7
0.730721961294698,0.740412430730853,1,3
0.4894159522343,0.632379549776312,1,7
0.759025936470654,0.884160455625146,1,5
0.667550283401256,0.799153630921661,1,1
0.640472499245055,0.687443658638852,1,5
0.734183502753649,0.550430544546436,0,5
0.637498810729132,0.787462255243392,1,9
0.740211434670601,0.669551842152273,0,0
0.700475858780937,0.692792175179092,1,3
0.707556571595281,0.844078584722513,1,3
0.738608107443935,0.747682671377127,0,6
0.62668312004916,0.743310166408044,1,6
0.719426269419372,0.50875842076478,0,1
0.829261492752827,0.679147005833651,1,0
0.69376808415304,0.656405088387682,1,4
0.590718145376874,0.615930878255971,0,7
0.764167778720674,0.615795503981761,0,1
0.602852408275969,0.769156144058528,1,7
