"rep","dens","rand","rich","species","n","n.I","max.dI","tmax.dI","n.E","FOI","pE","pI","comp_Abund","comp_relAbund","comp_nI","pcomp_Abund","comp.i","n.Eweighted","p.Eweighted"
8,"sub",FALSE,6,"4",36,3,0,2,28,0.0221674876847291,0.777777777777778,0.433333333333333,129.9,0.433,84.4,3.60833333333333,0.1,2.8,0.00933333333333333
8,"sub",FALSE,6,"5",26,5,0,2,20,0.0232142857142857,0.769230769230769,0.433333333333333,129.9,0.433,84.4,4.99615384615385,0,0,0
8,"sub",FALSE,6,"6",19,2,0,2,15,0.0218390804597701,0.789473684210526,0.433333333333333,129.9,0.433,84.4,6.83684210526316,0,0,0
8,"sub",FALSE,6,"tot",300,130,31,3,219,0.120948880721684,0.73,0.433333333333333,129.9,0.433,84.4,0.433,NA,90.7,0.302333333333333
9,"sub",FALSE,1,"1",300,300,82,5,270,1.15340253748558,0.9,1,300,1,300,1,1,270,0.9
9,"sub",FALSE,1,"tot",300,300,82,5,270,1.15340253748558,0.9,1,300,1,300,1,NA,270,0.9
9,"sub",FALSE,2,"1",169,169,41,3,151,1.12586723431094,0.893491124260355,0.84,208.3,0.694333333333333,193.9,1.23254437869822,1,151,0.503333333333333
9,"sub",FALSE,2,"2",131,83,11,5,119,0.0853125563951071,0.908396946564885,0.84,208.3,0.694333333333333,193.9,1.59007633587786,0.3,35.7,0.119
9,"sub",FALSE,2,"tot",300,252,49,3,270,0.225988700564972,0.9,0.84,208.3,0.694333333333333,193.9,0.694333333333333,NA,186.7,0.622333333333333
9,"sub",FALSE,4,"1",110,93,35,3,83,1.71509567682495,0.754545454545455,0.533333333333333,152.6,0.508666666666667,110.8,1.38727272727273,1,83,0.276666666666667
9,"sub",FALSE,4,"2",88,47,6,3,66,0.129032258064516,0.75,0.533333333333333,152.6,0.508666666666667,110.8,1.73409090909091,0.3,19.8,0.066
9,"sub",FALSE,4,"3",60,17,4,3,48,0.0548446069469835,0.8,0.533333333333333,152.6,0.508666666666667,110.8,2.54333333333333,0.2,9.6,0.032
9,"sub",FALSE,4,"4",42,3,0,2,32,0.0253868471953578,0.761904761904762,0.533333333333333,152.6,0.508666666666667,110.8,3.63333333333333,0.1,3.2,0.0106666666666667
9,"sub",FALSE,4,"tot",300,160,45,3,229,0.151506776347858,0.763333333333333,0.533333333333333,152.6,0.508666666666667,110.8,0.508666666666667,NA,115.6,0.385333333333333
9,"sub",FALSE,6,"1",94,66,29,3,57,2.50028296547821,0.606382978723404,0.386666666666667,130.1,0.433666666666667,77.9,1.38404255319149,1,57,0.19
9,"sub",FALSE,6,"2",74,31,5,3,45,0.197485245060303,0.608108108108108,0.386666666666667,130.1,0.433666666666667,77.9,1.75810810810811,0.3,13.5,0.045
9,"sub",FALSE,6,"3",52,10,2,4,36,0.0645889792231256,0.692307692307692,0.386666666666667,130.1,0.433666666666667,77.9,2.50192307692308,0.2,7.2,0.024
9,"sub",FALSE,6,"4",35,6,0,2,20,0.0756484149855908,0.571428571428571,0.386666666666667,130.1,0.433666666666667,77.9,3.71714285714286,0.1,2,0.00666666666666667
9,"sub",FALSE,6,"5",26,2,0,2,20,0.0219101123595506,0.769230769230769,0.386666666666667,130.1,0.433666666666667,77.9,5.00384615384615,0,0,0
9,"sub",FALSE,6,"6",19,1,0,2,13,0.0391483516483517,0.684210526315789,0.386666666666667,130.1,0.433666666666667,77.9,6.84736842105263,0,0,0
9,"sub",FALSE,6,"tot",300,116,34,3,191,0.16002232106222,0.636666666666667,0.386666666666667,130.1,0.433666666666667,77.9,0.433666666666667,NA,79.7,0.265666666666667
10,"sub",FALSE,1,"1",300,300,94,5,270,1.14942528735632,0.9,1,300,1,300,1,1,270,0.9
10,"sub",FALSE,1,"tot",300,300,94,5,270,1.14942528735632,0.9,1,300,1,300,1,NA,270,0.9
10,"sub",FALSE,2,"1",169,161,47,3,144,1.13290783558125,0.85207100591716,0.823333333333333,208.3,0.694333333333333,186.8,1.23254437869822,1,144,0.48
10,"sub",FALSE,2,"2",131,86,12,5,119,0.104899352950381,0.908396946564885,0.823333333333333,208.3,0.694333333333333,186.8,1.59007633587786,0.3,35.7,0.119
10,"sub",FALSE,2,"tot",300,247,56,3,263,0.266789908199063,0.876666666666667,0.823333333333333,208.3,0.694333333333333,186.8,0.694333333333333,NA,179.7,0.599
10,"sub",FALSE,4,"1",110,85,26,3,79,1.19349005424955,0.718181818181818,0.54,152.6,0.508666666666667,105.7,1.38727272727273,1,79,0.263333333333333
10,"sub",FALSE,4,"2",88,56,9,3,65,0.184365228267667,0.738636363636364,0.54,152.6,0.508666666666667,105.7,1.73409090909091,0.3,19.5,0.065
10,"sub",FALSE,4,"3",60,18,2,5,43,0.0716876466823128,0.716666666666667,0.54,152.6,0.508666666666667,105.7,2.54333333333333,0.2,8.6,0.0286666666666667
10,"sub",FALSE,4,"4",42,3,0,2,28,0.0440251572327044,0.666666666666667,0.54,152.6,0.508666666666667,105.7,3.63333333333333,0.1,2.8,0.00933333333333333
10,"sub",FALSE,4,"tot",300,162,36,3,215,0.184628474191719,0.716666666666667,0.54,152.6,0.508666666666667,105.7,0.508666666666667,NA,109.9,0.366333333333333
10,"sub",FALSE,6,"1",95,78,29,3,72,1.51020749665328,0.757894736842105,0.433333333333333,130.9,0.436333333333333,90.4,1.37789473684211,1,72,0.24
10,"sub",FALSE,6,"2",74,31,6,5,52,0.121583271097834,0.702702702702703,0.433333333333333,130.9,0.436333333333333,90.4,1.76891891891892,0.3,15.6,0.052
10,"sub",FALSE,6,"3",51,13,2,3,35,0.063229078613694,0.686274509803922,0.433333333333333,130.9,0.436333333333333,90.4,2.56666666666667,0.2,7,0.0233333333333333
10,"sub",FALSE,6,"4",35,5,0,2,19,0.0869430212699891,0.542857142857143,0.433333333333333,130.9,0.436333333333333,90.4,3.74,0.1,1.9,0.00633333333333333
10,"sub",FALSE,6,"5",26,3,0,2,17,0.0476287400773458,0.653846153846154,0.433333333333333,130.9,0.436333333333333,90.4,5.03461538461538,0,0,0
10,"sub",FALSE,6,"6",19,0,0,2,16,0.0131457564575646,0.842105263157895,0.433333333333333,130.9,0.436333333333333,90.4,6.88947368421053,0,0,0
10,"sub",FALSE,6,"tot",300,130,36,3,211,0.134092005562335,0.703333333333333,0.433333333333333,130.9,0.436333333333333,90.4,0.436333333333333,NA,96.5,0.321666666666667
