"rep","dens","rand","rich","species","n","n.I","pI","max.dI","tmax.dI","n.E","FOI"
1,"sub",TRUE,2,"tot",392,59,0.150510204081633,9,3,140,0.222820362785255
1,"sub",TRUE,4,"2",102,25,0.245098039215686,6,3,30,0.50573476702509
1,"sub",TRUE,4,"4",143,13,0.0909090909090909,0,2,54,0.153741151458046
1,"sub",TRUE,4,"5",82,8,0.0975609756097561,0,2,31,0.151236800231448
1,"sub",TRUE,4,"6",65,4,0.0615384615384615,0,2,27,0.118499328343888
1,"sub",TRUE,4,"tot",392,50,0.127551020408163,6,3,142,0.191879372104799
1,"sub",TRUE,6,"1",44,30,0.681818181818182,14,3,28,2.46938775510204
1,"sub",TRUE,6,"2",83,26,0.313253012048193,7,3,36,0.239037532515793
1,"sub",TRUE,6,"3",31,5,0.161290322580645,1,3,20,0.0456842105263158
1,"sub",TRUE,6,"4",114,13,0.114035087719298,0,2,52,0.0936109345200254
1,"sub",TRUE,6,"5",66,4,0.0606060606060606,0,2,29,0.104087634798176
1,"sub",TRUE,6,"6",54,7,0.12962962962963,0,2,26,0.0812204555221315
1,"sub",TRUE,6,"tot",392,85,0.216836734693878,22,3,191,0.124308959581357
2,"sub",TRUE,1,"1",392,392,1,120,5,353,1.23316935373849
2,"sub",TRUE,1,"tot",392,392,1,120,5,353,1.23316935373849
2,"sub",TRUE,2,"1",230,230,1,68,3,210,1.19954648526077
2,"sub",TRUE,2,"2",162,116,0.716049382716049,20,5,143,0.0922193595877807
2,"sub",TRUE,2,"tot",392,346,0.88265306122449,77,3,353,0.235000996266168
2,"sub",TRUE,4,"1",142,120,0.845070422535211,48,3,108,1.72873799725652
2,"sub",TRUE,4,"2",103,61,0.592233009708738,12,5,79,0.120399280188258
2,"sub",TRUE,4,"3",65,23,0.353846153846154,4,5,53,0.0348272034903747
2,"sub",TRUE,4,"6",82,11,0.134146341463415,0,2,63,0.0150977770025389
2,"sub",TRUE,4,"tot",392,215,0.548469387755102,60,3,303,0.096438335816704
2,"sub",TRUE,6,"1",116,75,0.646551724137931,28,3,68,2.91003460207612
2,"sub",TRUE,6,"2",82,26,0.317073170731707,6,5,44,0.156880854994063
2,"sub",TRUE,6,"3",53,17,0.320754716981132,3,3,25,0.131751412429379
2,"sub",TRUE,6,"4",32,3,0.09375,0,2,23,0.019626550361183
2,"sub",TRUE,6,"5",43,1,0.0232558139534884,0,2,35,0.010568356374808
2,"sub",TRUE,6,"6",66,10,0.151515151515152,0,2,37,0.0509150883166631
2,"sub",TRUE,6,"tot",392,132,0.336734693877551,36,3,232,0.110403605015674
3,"sub",TRUE,1,"5",392,39,0.0994897959183673,0,2,124,0.235602282105565
3,"sub",TRUE,1,"tot",392,39,0.0994897959183673,0,2,124,0.235602282105565
3,"sub",TRUE,2,"2",164,59,0.359756097560976,18,3,83,0.205719603856231
3,"sub",TRUE,2,"5",228,23,0.100877192982456,0,2,104,0.0939993616342164
3,"sub",TRUE,2,"tot",392,82,0.209183673469388,18,3,187,0.127325901972572
3,"sub",TRUE,4,"1",65,40,0.615384615384615,18,3,34,3.65484429065744
3,"sub",TRUE,4,"2",103,34,0.330097087378641,7,3,53,0.182879193200919
3,"sub",TRUE,4,"3",81,19,0.234567901234568,3,3,41,0.10744159605858
3,"sub",TRUE,4,"5",143,14,0.0979020979020979,0,2,86,0.0414606604407007
3,"sub",TRUE,4,"tot",392,107,0.272959183673469,28,3,214,0.11214953271028
3,"sub",TRUE,6,"1",55,31,0.563636363636364,14,3,23,5.71833648393195
3,"sub",TRUE,6,"2",82,18,0.219512195121951,4,3,34,0.189876503087423
3,"sub",TRUE,6,"3",65,12,0.184615384615385,4,3,35,0.09422086591646
3,"sub",TRUE,6,"4",32,3,0.09375,0,2,15,0.0871794871794872
3,"sub",TRUE,6,"5",114,9,0.0789473684210526,0,2,57,0.0714285714285714
3,"sub",TRUE,6,"6",44,6,0.136363636363636,0,2,14,0.236305048335124
3,"sub",TRUE,6,"tot",392,79,0.201530612244898,22,3,178,0.143171432433287
4,"sub",TRUE,1,"6",392,39,0.0994897959183673,0,2,118,0.265995700799414
4,"sub",TRUE,1,"tot",392,39,0.0994897959183673,0,2,118,0.265995700799414
4,"sub",TRUE,2,"4",163,14,0.0858895705521472,0,2,46,0.310784824978815
4,"sub",TRUE,2,"6",229,25,0.109170305676856,0,2,68,0.274944815654456
4,"sub",TRUE,2,"tot",392,39,0.0994897959183673,0,2,114,0.289149977181308
4,"sub",TRUE,4,"1",67,33,0.492537313432836,14,3,23,8.48582230623819
4,"sub",TRUE,4,"2",82,26,0.317073170731707,9,3,37,0.252480328429696
4,"sub",TRUE,4,"4",101,8,0.0792079207920792,0,2,47,0.0904462612560323
4,"sub",TRUE,4,"6",142,13,0.0915492957746479,0,2,77,0.0557276289493863
4,"sub",TRUE,4,"tot",392,80,0.204081632653061,23,3,184,0.132288843109617
4,"sub",TRUE,6,"1",54,33,0.611111111111111,14,3,29,3.46730083234245
4,"sub",TRUE,6,"2",66,23,0.348484848484849,11,3,37,0.150787478125608
4,"sub",TRUE,6,"3",44,7,0.159090909090909,1,10,18,0.140425531914894
4,"sub",TRUE,6,"4",83,7,0.0843373493975904,0,2,38,0.0949656750572082
4,"sub",TRUE,6,"5",32,1,0.03125,0,2,15,0.0920473773265651
4,"sub",TRUE,6,"6",113,16,0.141592920353982,0,2,52,0.092053952991453
4,"sub",TRUE,6,"tot",392,87,0.221938775510204,25,3,189,0.132668856420131
5,"sub",TRUE,1,"1",392,392,1,132,5,353,1.23316935373849
5,"sub",TRUE,1,"tot",392,392,1,132,5,353,1.23316935373849
5,"sub",TRUE,2,"1",228,218,0.956140350877193,57,3,198,1.32598714416896
5,"sub",TRUE,2,"6",164,19,0.115853658536585,0,2,143,0.00651444849443227
5,"sub",TRUE,2,"tot",392,237,0.604591836734694,57,3,341,0.0734892090393353
5,"sub",TRUE,4,"1",143,119,0.832167832167832,46,3,103,1.92751437458761
5,"sub",TRUE,4,"2",65,30,0.461538461538462,7,3,51,0.0740994072047424
5,"sub",TRUE,4,"5",81,9,0.111111111111111,0,2,61,0.0164238571732717
5,"sub",TRUE,4,"6",103,10,0.0970873786407767,0,2,77,0.0173722381514589
5,"sub",TRUE,4,"tot",392,168,0.428571428571429,53,3,292,0.0697108066971081
5,"sub",TRUE,6,"1",114,68,0.596491228070175,30,3,60,3.61
5,"sub",TRUE,6,"2",54,16,0.296296296296296,3,3,32,0.0795022796352584
5,"sub",TRUE,6,"3",32,7,0.21875,1,4,15,0.118518518518519
5,"sub",TRUE,6,"4",44,5,0.113636363636364,0,2,24,0.0563236047107015
5,"sub",TRUE,6,"5",66,6,0.0909090909090909,0,2,36,0.0567010309278351
5,"sub",TRUE,6,"6",82,8,0.0975609756097561,0,2,48,0.0442371160192942
5,"sub",TRUE,6,"tot",392,110,0.280612244897959,33,3,215,0.113211677982089
6,"sub",TRUE,1,"1",392,392,1,120,5,353,1.23316935373849
6,"sub",TRUE,1,"tot",392,392,1,120,5,353,1.23316935373849
